,id,STATE,Pop_2020,STATE_CODE,LATITUDE,LONGITUDE,Data As Of,Totals By,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
0,1,Alabama,4921532,AL,31.575479,-85.279044,2023-09-27,By Total,All Sexes,All Ages,21520,231602,17619,356
1,2,Alaska,731158,AK,55.999722,-161.207778,2023-09-27,By Total,All Sexes,All Ages,1492,20039,1486,48
2,3,Arizona,7421401,AZ,33.942778,-113.173333,2023-09-27,By Total,All Sexes,All Ages,30307,284393,30328,377
3,4,Arkansas,3030522,AR,35.046956,-92.903325,2023-09-27,By Total,All Sexes,All Ages,12663,140174,13453,287
4,5,California,39368078,CA,38.200413,-121.218576,2023-09-27,By Total,All Sexes,All Ages,109248,1178346,125177,1753
5,6,Colorado,5807719,CO,39.420256,-103.984575,2023-09-27,By Total,All Sexes,All Ages,15378,176094,15215,394
6,7,Connecticut,3557006,CT,41.860556,-72.007222,2023-09-27,By Total,All Sexes,All Ages,12571,130502,10461,216
7,8,Delaware,986809,DE,39.610187,-75.674729,2023-09-27,By Total,All Sexes,All Ages,3445,41037,3448,64
8,9,District of Columbia,712816,DC,38.895,-77.0366,2023-09-27,By Total,All Sexes,All Ages,2231,25770,3010,26
9,10,Florida,21733312,FL,29.796996,-82.480531,2023-09-27,By Total,All Sexes,All Ages,81894,915140,97245,1270
10,11,Georgia,10710017,GA,31.96484,-83.306845,2023-09-27,By Total,All Sexes,All Ages,36499,384074,34155,526
11,12,Hawaii,1407006,HI,21.390795,-157.933237,2023-09-27,By Total,All Sexes,All Ages,1943,47252,3635,65
12,13,Idaho,1826913,ID,42.976717,-112.818124,2023-09-27,By Total,All Sexes,All Ages,5610,63400,4963,143
13,14,Illinois,12587530,IL,40.802312,-90.400898,2023-09-27,By Total,All Sexes,All Ages,38724,446027,40434,596
14,15,Indiana,6754953,IN,39.995833,-86.62,2023-09-27,By Total,All Sexes,All Ages,26885,282262,28183,517
15,16,Iowa,3163561,IA,42.552722,-93.060835,2023-09-27,By Total,All Sexes,All Ages,11026,125759,9920,316
16,17,Kansas,2913805,KS,37.962597,-98.207103,2023-09-27,By Total,All Sexes,All Ages,10152,112874,9512,309
17,18,Kentucky,4477251,KY,37.253889,-86.681667,2023-09-27,By Total,All Sexes,All Ages,20274,209080,23589,511
18,19,Louisiana,4645318,LA,29.958828,-92.142655,2023-09-27,By Total,All Sexes,All Ages,17722,199509,15749,227
19,20,Maine,1350141,ME,45.279838,-69.52514,2023-09-27,By Total,All Sexes,All Ages,3235,61645,4231,137
20,21,Maryland,6055802,MD,38.249554,-76.744104,2023-09-27,By Total,All Sexes,All Ages,18143,209247,18402,327
21,22,Massachusetts,6893574,MA,42.116715,-70.954293,2023-09-27,By Total,All Sexes,All Ages,21286,240422,20840,557
22,23,Michigan,9966555,MI,44.771944,-85.501389,2023-09-27,By Total,All Sexes,All Ages,37102,412252,36871,673
23,24,Minnesota,5657342,MN,47.315597,-96.503569,2023-09-27,By Total,All Sexes,All Ages,15298,188637,14526,382
24,25,Mississippi,2966786,MS,34.455553,-89.568835,2023-09-27,By Total,All Sexes,All Ages,14955,139919,15666,267
25,26,Missouri,6151548,MO,38.412473,-94.368336,2023-09-27,By Total,All Sexes,All Ages,23363,273827,23155,578
26,27,Montana,1080577,MT,45.515356,-109.469171,2023-09-27,By Total,All Sexes,All Ages,3961,44283,3793,109
27,28,Nebraska,1937552,NE,41.347901,-96.956282,2023-09-27,By Total,All Sexes,All Ages,5815,70422,6148,164
28,29,Nevada,3138259,NV,37.325866,-115.308032,2023-09-27,By Total,All Sexes,All Ages,12259,117594,15426,200
29,30,New Hampshire,1366275,NH,43.217778,-72.2925,2023-09-27,By Total,All Sexes,All Ages,3112,51581,3286,100
30,31,New Jersey,8882371,NJ,39.462368,-74.503106,2023-09-27,By Total,All Sexes,All Ages,35691,312963,31031,363
31,32,New Mexico,2106319,NM,36.176923,-106.244859,2023-09-27,By Total,All Sexes,All Ages,8963,84955,8783,184
32,33,New York,19336776,NY,41.808308,-74.235336,2023-09-27,By Total,All Sexes,All Ages,42273,422387,44547,789
33,34,North Carolina,10600823,NC,35.121641,-79.445039,2023-09-27,By Total,All Sexes,All Ages,34383,417304,38593,728
34,35,North Dakota,765309,ND,46.447778,-96.73,2023-09-27,By Total,All Sexes,All Ages,3101,29913,3427,93
35,36,Ohio,11693217,OH,38.670864,-83.763723,2023-09-27,By Total,All Sexes,All Ages,49729,517794,45127,860
36,37,Oklahoma,3980783,OK,33.833333,-96.386944,2023-09-27,By Total,All Sexes,All Ages,18520,171792,18621,492
37,38,Oregon,4241507,OR,45.749678,-118.617582,2023-09-27,By Total,All Sexes,All Ages,9232,158968,9328,345
38,39,Pennsylvania,12783254,PA,40.876944,-77.387977,2023-09-27,By Total,All Sexes,All Ages,53049,557522,45898,947
39,40,Rhode Island,1057125,RI,41.554444,-71.131667,2023-09-27,By Total,All Sexes,All Ages,4083,42462,3356,77
40,41,South Carolina,5218040,SC,34.18186,-82.378452,2023-09-27,By Total,All Sexes,All Ages,20842,224379,18831,362
41,42,South Dakota,892717,SD,45.466109,-98.485642,2023-09-27,By Total,All Sexes,All Ages,3472,34467,3539,111
42,43,Tennessee,6886834,TN,36.558174,-87.122626,2023-09-27,By Total,All Sexes,All Ages,30408,330056,33396,689
43,44,Texas,29360759,TX,31.891642,-97.067146,2023-09-27,By Total,All Sexes,All Ages,104421,931558,104650,1570
44,45,Utah,3249879,UT,40.461591,-111.768861,2023-09-27,By Total,All Sexes,All Ages,5867,83772,6210,176
45,46,Vermont,623347,VT,44.35747,-72.504649,2023-09-27,By Total,All Sexes,All Ages,976,23816,1365,60
46,47,Virginia,8590563,VA,36.691644,-82.019989,2023-09-27,By Total,All Sexes,All Ages,23148,301033,21015,430
47,48,Washington,7693612,WA,46.984293,-123.79629,2023-09-27,By Total,All Sexes,All Ages,15078,246807,19781,546
48,49,West Virginia,1784787,WV,37.768611,-81.837222,2023-09-27,By Total,All Sexes,All Ages,8339,98692,10709,203
49,50,Wisconsin,5832655,WI,44.964057,-90.299438,2023-09-27,By Total,All Sexes,All Ages,17064,223540,14520,424
50,51,Wyoming,582328,WY,42.712829,-110.941976,2023-09-27,By Total,All Sexes,All Ages,1855,20597,1859,34
